,frame_name,frame_definition,lexical_units_list
272,Cometer_crime,"Um Criminoso (geralmente intencionalmente) comete um Crime, ou seja, faz algo que não é permitido pelas leis da sociedade.",
273,Comissão_técnica,"É a equipe de técnicos, médicos, preparadores físicos e outros profissionais especializados que acompanham uma delegação esportiva.","analista de desempenho.n
  auxiliar técnico.n
  auxiliar.n
  chef.n
  comissão técnica.n
  coordenador.n
  cozinheiro.n
  diretor.n
  fisiologista.n
  fisioterapeuta.n
  fotógrafo.n
  gerente.n
instrutor.n
massagista.n
médico.n
nutricionista.n
observador técnico.n
olheiro.n
preparador de goleiro.n
preparador físico.n
psicólogo.n
roupeiro.n
segurança.n
supervisor.n
técnico.n
treinador assistente.n
treinador.n
veterinário.n"
274,Comitiva,"Um grupo de Indivíduos formam um grupo, a Comitiva, que permanece co-localizada com a Pessoa_acompanhada. A comitiva pode ter um propósito específico para seguir a Pessoa_acompanhada, como para protegê-la ou servi-la, ou o propósito pode ser vago (por exemplo, estar perto de uma pessoa de poder).",
275,Comparação_avaliativa,"Este frame é sobre a comparação estática de um Item_perfilado com um Item_padrão, geralmente com relação a algum Atributo. Nesse frame, há uma assimetria inerente entre o Item_perfilado e o Item_padrão em que os dois não podem ser expressos em conjunto como um assunto. Também são encontradas expressões de Grau que indicam o quanto os itens estão próximos uns dos outros na escala evocada pelo Atributo. Além disso, o valor específico do padrão ou item em uma determinada escala pode ser dado pelo Atributo_padrão do Atributo_perfilado, respectivamente.","comparar.v
do que.c
equivaler.v
igualmente.adv
incomparável.a
longe.a
mais.adv
melhor.a
melhorar.v
menor.a
piorar.v"
276,Comparecer,Um Agente vai a um Evento e fica presente de forma relativamente não participativa.,"auto-atendimento.n
  ir.v
 "
277,Compatibilidade,"O Item_1 e o Item_2 são compatíveis entre si se puderem existir ou funcionar juntos em algum contexto sem problemas, conflitos ou outras situações indesejáveis. O conjunto de Item_1 e Item_2 pode ser expresso em conjunto como Itens. O Grau ao qual os itens são compatíveis também pode ser indicado, como pode ser um Parâmetro em cujas linhas os Itens são compatíveis.","condizente.a
condizer.v
consistência.n
harmonia.n"
278,Competição,"Este frame se relaciona com a ideia de que pessoas (Participante_1, Participante_2, ou Participantes) participam em uma atividade regida por regras (a Competição) com o intuito de alcançar algum resultado vantajoso (frequentemente o Prêmio). A Classificação e a Pontuação são feitos por diferentes critérios avaliados conforme o grau da vantagem do resultado.","brigar.v
campeonato.n
combate.n
competição.n
competidor.n
competir.v
competitivo.a
concorrência.n
desafio.n
disputa.n
disputar.v
encarar.v
game.n
jogar.v
jogo.n
liga.n
rivalidade.n
torneio.n"
279,Completude,"Um Todo, uma entidade com uma subestrutura, é avaliado por ter ou não todas as partes necessárias definidas para ele ou para uma entidade de seu tipo. A entidade pode ser uma coisa física concreta, uma coisa abstrata ou um processo com alvos ou sub-alvos.","complementar.v
  completar.v
  completo.a
  total.a
  totalidade.n
 "
280,Complexidade_sistêmica,"Um Sistema é percebido como complexo dependendo da complexidade da interconectividade de suas partes ou componentes. Essas partes ou componentes individuais não funcionam como elementos de frame nesse frame, embora estejam implícitos em sua definição. Uma Dimensão também pode ser definida, o que situa o sistema dentro de um determinado domínio.","complexidade.n
  simples.a
 "
281,Comprar,A Shopper looks for Goods in order to purchase them.,"comprar.v
  compras.n
  custo benefício.n
 "
282,Compreender,"Um Pensador possui conhecimento sobre o funcionamento ou significado de uma ideia ou objeto, que chamamos de Fenômeno, e é capaz de fazer previsões sobre o comportamento ou a ocorrência do Fenômeno. O Fenômeno pode ser incorporado na estrutura de conhecimento mais ampla por meio de categorização, o que pode ser indicado pela menção de uma Categoria. O Pensador pode possuir conhecimento apenas em parte e isso pode ser expresso em uma expressão de Completude. O Pensador também pode ser percebido como uma Faculdade cognitivo-emocional que é concebida como tendo compreensão. Note que o conhecimento pode ter sido adquirido a partir da instrução ou da experimentação, observação ou operações mentais do próprio Pensador. As palavras nesse frame são frequentemente usadas metonimicamente para denotar a transição para o estado descrito acima.",
283,Comprometimento,Um Falante se compromete com um Destinatário para realizar alguma ação futura. Esta pode ser uma ação desejável (como uma promessa) ou não desejável (como uma ameaça) para o Destinatário.,"ameaçar.v
juramento.n
jurar.v
prometer.v"
284,Comunicação,"Um Comunicador transmite uma Mensagem para um Destinatário; o Tópico e a Mídia da comunicação também podem ser expressos. Este frame não inclui nenhuma especificação do método de comunicação (fala, escrita, gesto, etc.). Os frames que herdam o frame geral de Comunicação podem adicionar elaboração à Mídia de várias maneiras (em francês, no programa de rádio, em uma letra ) ou ao Modo de comunicação (tagarelar, gritar, sussurrar ). Há também frames que não herdam todos os EFs deste frame ou não os herdam de maneira direta (como Conversação, em que o Comunicador e o Destinatário alternam os papéis, e geralmente são expressos por um único SP plural).","comunicar.v
transmitir.v"
285,Comunicação_de_julgamento,"Um Comunicador comunica um julgamento de um Avaliado a um Destinatário. O julgamento pode ser positivo (por exemplo, elogio) ou negativo (por exemplo, criticar), e isso é indicado pelos tipos semântico Positivo e Negativo ligados às unidades lexicais. Este frame não contém palavras em que o Avaliado e Destinatário sejam necessariamente o mesmo.","celebrar.v
crítica.n
criticar.v
crítico.a"
286,Comunicação_direta_de_julgamento,"Nesse frame, um Comunicador avalia o Destinatário e comunica essa avaliação diretamente ao Destinatário. O julgamento é dado para uma determinada Razão ou sobre um determinado Tópico.","obrigado.a
obrigado.n
parabéns.n"
287,Comunicação_resposta,"Este frame lida com um Falante comunicando uma resposta, uma Mensagem, para alguma comunicação ou ação anterior, o Ativador.","replicar.v
responder.v
tornar.v"
288,Comunicar_categorização,"Um Falante comunica uma Mensagem informando a associação de um Item em uma Categoria, isto é, afirma que o Item tem as características definidoras da Categoria. Alternativamente, a Mensagem é comunicada por uma Mídia.","definição.n
definir.v
determinação.n
determinado.a
retratar.v
simbolizar.v"
289,Comunicar_mensagem_com_sucesso,Um Comunicador fala com um Destinatário de modo que o Destinatário entende e aprecia completamente a verdade e/ou relevância de uma Mensagem.,
290,Comutação,"Uma Autoridade_executiva troca uma pena, a Pena_original, por outra menos grave, a Pena_nova. O Transgressor que recebeu a Pena_original geralmente é expresso como um modificador.",
291,Conceder_benefício,"Um Benfeitor confere uma Situação_benéfica a um Beneficiário. Ao contrário do Cenário_do_comércio, o destinatário não é necessariamente obrigado a pagar pelo bem ou serviço que recebe. Portanto, o elemento de benevolência é perfilado.",
292,Concessão,"Um locutor marca um Estado_de_coisas_concedido como sendo ou implicando uma contradição à Afirmação_principal. Algumas ULs especificam a Afirmação_principal, outras o Estado_de_coisas_concedido, como se referindo ao discurso anterior (isto é, DNI), enquanto outras ainda são conjunções unindo as duas.","ainda assim.c
ainda que.scon
apesar de.c
exceção.n
mas.c
na realidade.c
na verdade.c
no entanto.c"
293,Condicional_negativa,Uma Anticonsequência é apresentada como não ocorrendo se a Possibilidade_perfilada ocorrer.,
294,Condições_médicas,"Palavras neste frame dão nome a condições médicas ou doenças que um paciente sofre, está sendo tratado para, pode ser curado de, ou morrer de. A condição ou doença pode ser descrita de várias maneiras, incluindo a parte ou a área do corpo (Parte_do_corpo) afetada pela condição (por exemplo, câncer de fígado, doença cardiovascular), a Causa da condição (por exemplo, meningite bacteriana, pneumonia), um Sintoma importante da condição (por exemplo, estenose assintomática, doença da orelha azul), o Paciente ou população (originalmente) afetados pela doença (por exemplo, tuberculose bovina, diabetes juvenil) ou o Nome (próprio) usado para identificar a condição (por exemplo, síndrome de Munchausen, doença de Lou Gehrig). A anotação neste frame é feita em relação ao nome da condição ou doença.","adoecer.v
alérgico.a
área.n
cadeirante.a
cadeirante.n
câncer.n
cardíaco.a
cirúrgico.a
deficiência.n
derrame.n
diagnosticado.a
distrofia.n
doença.n
doente.a
doer.v
dor.n
epidemia.n
esclerose lateral amiotrófica.n
fratura.n
grávida.a
hemorragia.n
internado.a
lesão.n
nervoso.a
paciente.n
parada respiratória.n
passar mal.v
patogénico.a
portador.n
problema respiratório.n
problema.n
receber alta.v
saúde.n
vítima.n
vômito.n"
295,Conduta,Um Agente atua de uma certa Maneira geralmente ou sob algumas Circunstâncias em particular. A conduta também pode ser direcionada especificamente para uma Parte_afetada.,"comportamento.n
 "
296,Conectores,"O Conector é um artefato criado para anexar um Item_conectado ou para afixar a uma Localização_fixa e é principalmente usado dessa forma. Um Uso mais específico também pode ser especificado. Certas palavras neste frame (por exemplo, laço) indicam especificamente que o Conector está sendo usado para imobilizar algo. Os Conectores têm uma grande variedade de formas físicas: longas, finas e flexíveis para amarrar (cordas, amarras, laços); sólido, com uma forma correspondente a buracos nas entidades a serem conectadas (parafusos, pregos, cavilhas); e líquido (colas, adesivos, pastas).","cabo.n
  corda.n
  filamento.n
  fita adesiva.n
  gancho.n
  luva.n
 "
297,Conexão_cognitiva,"Um conceito, Conceito_1, é relacionado causalmente ou de formal colocacional a outro conceito, Conceito_2, por alguma evidência. Eles podem ser relacionados somente sob certas Circunstâncias ou de certo Ponto_de_vista. Os dois conceitos podem ser expressos coletivamente como Conceitos associados. Qualquer pensador é não perfilado.","associação.n
associado.a
conectar.v
envolver.v
ligar.v
remontar.v
ter a ver.v"
298,Confiar,Um Pensador pensa que a Informação dada por uma Fonte particular é correta. Um Conteúdo ou Tópico de Informação também pode ser descrito.,confiar.v
299,Configuração_do_cabelo,"Estilos temporários ou permanentes e Configurações de Cabelo, bem como sua natureza inerente. Observe que a fixação e a parte do corpo geralmente serão incorporados aos significados lexicais. As Sub-regiões geralmente não são especificadas e, às vezes, incorporadas.",
300,Confrontar_problema,Um Agente se envolve em um Problema que tem consequências negativas para ele. O Agente normalmente tomará uma atitude para resolver o Problema.,"encarar.v
  enfrentar.v
  passar.v
 "
301,Conhecimento,"Um Pensador tem um Conteúdo em seu conhecimento de mundo. O Conteúdo não é necessariamente apresentado por meio de percepção imediata, mas, em vez disso, normalmente, devido à dedução de coisas perceptíveis. Em alguns casos, a dedução do Conteúdo está baseada implicitamente em fontes de informações (acreditar), em alguns casos baseado na lógica (pensar), e em outros casos a fonte de dedução é desconhecida (saber).","acessível.a
achar.v
compreender.v
concepção.n
conhecer.v
conhecimento.n
considerar.v
crer.v
desavisado.a
discernimento.n
entender.v
fazer ideia.v
ideia.n
imaginação.n
imaginar.v
inacessível.a
inalcançável.a
noção.n
pensamento.n
pensar.v
repensar.v
sabedoria.n
saber.v
suspeitar.v
ter.v"
302,Conhecimento_da_situação,"Um Pensador tem um Conteúdo em seu conhecimento de mundo devido à dedução, inferência, ou meios perceptíveis similares de se chegar à informação.",
303,Conjunto_de_entidades_inter-relacionadas,"Um grupo de Entidades_componentes, juntamente com suas inter-relações, é visto como um Complexo.",
304,Conquistar,Este frame descreve um Tema perdendo sua autonomia e talvez sofrendo danos materiais como resultado de uma invasão bem-sucedida em nome de um Conquistador.,"conquistar.v
  tomar conta.v
  tomar.v
 "
305,Conseguir_um_emprego,"Um novo Empregado obtém uma Posição com um Empregador, com a qual há certas Tarefas associadas; Em troca do desempenho dessas Tarefas, o Empregado recebe uma Compensação do Empregador.",
306,Construir,"Esse frame descreve ações de montagem ou de construção,em que o Agente une Componentes para formar a Entidade_criada, que é perfilado e, portanto, é objeto do verbo.","conceber.v
construir.v
erguer.v
inaugurar.v
reforma.n
reformado.a
reformar.v
residência.n"
307,Consumir_recurso,Um Agente usa um Recurso que é consumido e indisponível para uso futuro.,
308,Contatar,"Um Comunicador (cujo local pode ser indicado) direciona uma Comunicação para um Destinatário em um determinado Endereço. Observe que nenhum ato comunicativo bem-sucedido real está implícito, apenas a conclusão bem-sucedida de atos que estabelecem a comunicação. O Endereço ou a Localização_do_comunicador podem ser um endereço virtual, como um e-mail ou número de telefone.","chamar.v
contactar.v
contato.n
corresponder.v
ligar.v
telefonar.v"
309,Conter,"Nesse frame, um Recipiente mantém dentro de seus limites físicos os Conteúdos.","alojar.v
  ter.v
 "
310,Contingência,"A resposta a uma pergunta em aberto, o Resultado, é ditada (parcial ou completamente) pela resposta a outra pergunta aberta, a Determinante, ou seja, se a resposta para o Determinante for conhecida, a resposta para o Resultado pode ser prevista. O Grau de poder preditivo e as Circunstâncias sob as quais a dependência se mantém também podem ser expressos.","dependência.n
  depender.v
  independente.a
 "
311,Continuação_do_emprego,"Este é um frame que representa o estágio intermediário do Cenário_de_emprego, no qual há uma relação estável de emprego entre o Empregado e o Empregador.",
312,Contra-atacar,"Um Agressor ataca fisicamente uma Vítima, que geralmente é, mas nem sempre é sensível, causando ou pretendendo causar o dano físico à Vítima. O ataque é uma resposta a um ataque anterior da Vítima no Agressor atual, ou de atores associados ao Agressor ou à Vítima. Uma Arma usada pelo Agressor também pode ser mencionada, além do habitual Lugar, Tempo, Finalidade, Explicação, etc. Às vezes, um local é usado metonimicamente para representar o Agressor ou a Vítima e, nesses casos, o EF Lugar será anotado em uma segunda camada EF.","contra-atacar.v
contra-ataque.n"
313,Contrair_doença,"Um Protagonista vem a sofrer de uma Doença, muitas vezes implicitamente adquirida de uma Fonte.",
314,Contratar,"Um Empregador contrata um Empregado, prometendo ao funcionário uma certa Remuneração em troca do desempenho de um trabalho. O trabalho pode ser descrito em termos de uma Tarefa ou uma Posição. Em alguns casos, o Empregado também indicará a Posição.",terceirizar.v
315,Contratar_fornecer_serviço_turístico,Frame genérico em que o Turista contrata um Serviço oferecido pela Operadora.,
316,Contrição,"Um Experienciador se sente mal sobre uma escolha, uma Ação, ou uma falha de fazer alguma coisa, que ele agora considera ter cometido um erro. O estado emocional do Experienciador pode ser expresso em gestos ou expressões faciais, ou seja, um Expressor.","arrepender-se.v
arrepender.v
arrependido.a
arrependimento.n
contrição.n
contrito.a
culpa.n
culpado.a
desculpa.n
desculpar.v
impenitente.a
penalizado.a
penitência.n
penitente.a
remorso.a
remorso.n"
317,Controlar,"Uma Entidade_controladora, Situação_controladora ou Variável_controladora controla uma Entidade_dependente, Situação_dependente ou Variável_dependente. A última, dependente, elemento ou algum aspecto dela não é apenas influenciado, mas determinado pelo elemento controlador.","condicionar.v
determinar.v
regulamentação.n
regulamentar.v
regulamento.n"
318,Convencer,Um Falante expressa através da linguagem seu desejo de fazer com que o Destinatário aja. O Destinatário forma uma intenção de agir e faz isso.,
319,Conversar,"Um grupo de pessoas (os Interlocutores ou Interlocutor_1 e Interlocutor_2 juntos) têm uma conversa. Nenhuma pessoa constitui como um único falante ou apenas um destinatário. Mais precisamente, é entendido como se ambos (ou todos) os participantes fizerem uma conversa e escuta, o processo é compreendido como sendo simétrico e recíproco. Neste frame, o propósito da conversa é geralmente social, ao invés de específico de decidir alguma coisa ou trocar informações, ou discutir (ver Discussão e Brigar).","bate-papo.n
contar.v
conversar.v
piada.n
zoar.v"
320,Convidado_e_anfitrião,"Dois indivíduos, o Convidado e o Anfitrião estão em uma relação social temporária dentro da qual o Anfitrião fornece o uso de um local ou recursos para o Convidado em um local altamente associado ao Anfitrião (em muitos casos, onde o Anfitrião vive ou trabalha). Não se espera que o Convidado retribua a hospitalidade do Anfitrião enquanto a relação se mantém, embora se espere que atue como Anfitrião em um momento posterior.","convida.v
convidado.n"
321,Cor,"Uma Cor como um ponto de referência no espaço de cores, seja um ponto de referência (por exemplo, siena queimada) ou uma região mais ampla (por exemplo, azul). Especialmente quando a Cor designa uma região ampla no espaço de cores, ela pode ser definida com um Tipo específico, especificado posteriormente por comparação à cor de um Comparativo, modificado por um Qualificador_de_cor ou avaliado com um Descritor. Todas as palavras de cor são geralmente usadas para especificar a cor de alguma Entidade (física).","alaranjado.a
amarelado.a
amarelo.a
azul.a
branco.a
colorido.a
cor.n
preto.a
verde-clara.a
verde.a
vermelho.a
violeta.a"
322,Corroer,"Neste frame, o Paciente, um item inorgânico, sofre um processo químico que o torna menos útil, desejável ou estável.",
323,Corrosão_causada,"Nesse frame, o Paciente, um item inorgânico, sofre um processo químico causado por outra entidade, o que o torna menos útil, desejável ou estável. O processo pode ou não estar sob o controle de um Agente.",
324,Corta-fogo,Este frame refere-se a entidades Corta-fogo destinadas a evitar que um incêndio viaje em uma direção. Elas são construídas removendo-se materiais combustíveis / inflamáveis do caminho previsto das chamas.,
325,Cortar,Um Agente corta um Item em Pedaços usando um Instrumento (que pode ou não ser expresso).,"cortar.v
  corte.n
  picadinha.a
  picado.a
  tosa.n
 "
326,Costume,Um Comportamento é classificado como enraizado por um Protagonista ou uma Sociedade. O Comportamento pode estar associado a um Domínio específico de experiência e descrito com um Descritor. Isso indica que o Comportamento é comumente executado pelo Protagonista ou pelos membros da Sociedade.,"acostumar.v
clássico.a
costumar.v
costume.n
paradigma.n
tradição.n
tradicional.a"
327,Cotema,"Este frame contém palavras que indicam necessariamente o movimento de dois objetos distintos. O Tema é tipicamente animado e é expresso da mesma maneira que um Auto-movedor é expresso no frame Auto_movimento. O Cotema pode ou não ser animado. A Fonte, Trajetória, Alvo e os outros elementos de frame comuns às palavras de movimento também ocorrem regularmente com as palavras nesse frame.","conduzir.v
guiar.v
seguir.v"
328,Crença_religiosa,Um Crente tem fé em um Conteúdo ou um Elemento que se encaixa em um sistema de crenças religiosas composto de muitos artigos de fé. O Conteúdo não está necessariamente ligado a uma experiência sensorial direta. O sistema de crenças pode ser consagrado pelos membros de um grupo social.,"credo.n
crença.n
crer.v
devoto.a
fé.n
fiel.n
religião.n"
329,Crescer_a_massa,"As ULs deste frame descrevem um pedaço de Massa expandindo conforme o gás se desenvolve dentro dele. Isso é parte de um processo em que, para produzir um pão mais leve e mais facilmente mastigável, A Massa é levedada com fermento, bicarbonato de sódio ou de outra forma para adicionar gás a ela antes de assar.",
330,Criação_culinária,Este frame descreve a preparação de alimentos e refeições. Um Cozinheiro cria uma Comida_produzida a partir de Ingredientes (crus). O Instrumento_de_aquecimento e / ou Recipiente também podem ser especificados.,"acrescentar.v
  adicionar.v
  assado.n
  assar.v
  bater.v
  colocar.v
  consertar.v
  cozinhar.v
  cozinheiro.n
  culinária.n
  culinário.a
  decorar.v
  degustação.n
deixar.v
despejar.v
dourar.v
fazer.v
feito.a
fritar.v
frito.a
fritura.n
gratinar.v
grelhar.v
inventar.v
mexer.v
milanesa.a
parmegiana.a
piamontese.a
picado.a
polvilhar.v
preparação.n
preparar.v
salgar.v
temperar.v"
331,Criação_de_nó,Um Agente cria um Nó (possivelmente em um Lugar e / ou com um Instrumento).,
332,Criar,Uma Causa que resulta na formação de uma Entidade_criada.,"conceber.v
consistir.v
criar.v
formação.n
formar.v
inovação.n
inovar.v
instituir.v
produzir.v"
333,Criar_arte_física,"Um Criador cria um artefato que normalmente é uma Representação icônica de uma entidade ou evento real ou imaginado. A Representação também pode ser evocativa de uma ideia, embora não seja baseada em semelhança.","artista.n
  desenhar.v
  escalar.v
  esculpir.v
  pintado.a
  pintar.v
  tirar foto.v
 "
334,Criar_intencionalmente,"O Criador cria uma nova entidade, a Entidade_criada, possivelmente a partir dos Componentes.","armação.n
  armar.v
  configurar.v
  criar.v
  dar origem.v
  elaborar.v
  estabelecer.v
  fazer.v
  fundado.a
  fundar.v
  ideia.n
  Inventa.v
  preparar.v
  produtor.a
produzir.v
realizar.v
ter.v"
335,Criar_representação,"Um Criador produz um objeto físico que serve como Representação de uma entidade ou evento real ou imaginado, o Representado.","desenhar.v
  esboçar.v
  esculpir.v
  foto.n
  fotografar.v
  fotografia.n
  ilustrado.a
  pintar.v
 "
336,Criminalidade,"Durante sua estada em um Lugar, o Turista pode se ver vítima de um Crime.","crime.n
 "
337,Culpa_ou_inocência,Um indivíduo Acusado é tomado por uma Postura_epistêmica (geralmente implícita) como estando envolvido (ou não) em um Delito.,
338,Cultivar_alimentos,A Cultivador esforça-se por tender a e influenciar o ambiente do Alimento de modo a fomentar o seu crescimento.,"cultivar.v
 "
339,Cumprimento_de_normas,Este frame diz respeito a Atos e Estados_de_coisas pelos quais Protagonistas são responsáveis e que seguem ou violam algum conjunto de regras ou Normas.,"contrariar.v
fiel.a
mandar.v
obedecer.v
seguir.v"
340,Cura,"Este frame trata de um Curador tratando e curando uma Aflição (as lesões, doenças ou dor) do Paciente, algumas vezes mencionando também o uso de um Tratamento ou Medicação em particular. Esse frame difere de Intervenção_médica, pois este frame lida apenas com casos em que o Paciente é curado da Aflição, não apenas tratado para a Aflição.",tratamento.n
341,Dançar,"Durante a visita a atrações ou lugares turísticos, o Turista costuma sair para dançar, geralmente, em Estabelecimentos tradicionais do lugar visitado.","sambar.v
 "
342,Danificar,"Um Agente afeta um Paciente de modo que este (ou alguma Sub-região deste) mude para um estado não-canônico. Geralmente, tal estado é indesejável e algumas unidades lexicais (marcadas com tipo semântico Negativo) indicam que o Paciente é afetado negativamente. Compare este frame como Destruir, Causar_fragmentar e Tornar_não-funcional","arrebentar.v
furar.v
rasgar.v
trincar.v"
343,Dar,"Um Doador transfere um Tema a um Recipiente. Este frame inclui apenas ações iniciadas pelo Doador (aquele que inicia o processo exercendo a posse sobre o Tema). As sentenças (mesmo as metafóricas) devem atender aos seguintes critérios: de princípio, o Doador detém a posse sobre o Tema; após a transferência, o Doador não mais possui o Tema, o qual passa a ser do Recipiente.","brinde.n
ceder.v
dádiva.n
dar.v
doação.n
prenda.n
presente.n
souvenir.n"
344,Dar_à_luz,Uma Mãe e um Pai produzem um Filho ou um Ovo.,dar origem.v
345,Dar_forma,Um Agente manipula um Tema de modo que ele adquira uma determinada forma ou Configuração_resultante.,"torcer.v
 "
346,Dar_impressão,"Um Fenômeno e suas características perceptíveis recebem alguma discrição. Que pode ser uma Caracterização, descrevendo características puramente perceptíveis, uma Avaliação (julgamento positivo ou negativo), ou uma Inferência sobre alguma propriedade não perceptível baseada na percepção do Perceptor_passivo.","aparentar.v
aparente.a
cheirar.v
feder.v
impressão.n
lembrar.v
parecer.v
provar.v
soar.v"
347,Data_comemorativa,"Esse frame descreve uma construção de composição específica (um padrão de cunhagem) pela qual palavras mais complexas podem ser criadas ao unir uma Entidade_homenageada a um Tipo_específico para descrever uma determinada Entidade_específica que tenha sido nomeada oficialmente como a Entidade_homenageada. Os EFs Tipo_específico e Entidade_homenageada fazem parte das Unidades Lexicais (anotadas na segunda camada de EF), e a Entidade_específica é a denotação do todo. Como cada um dos EFs é uma parte da Unidade Lexical, não há atribuição de Função Gramatical ou Tipo de Frase. O Tipo_específico deve (em princípio) também ser anotado como uma UL em um frame separado. Os alvos são adicionados oportunisticamente a esse frame no decorrer da anotação de outros frases.","aniversário.n
carnaval.n
Natal.n"
348,Decidir,"Um Pensador toma uma Decisão, que pode ser sobre uma entidade ou um curso de ação.","decidir.v
  decisão.n
  decisiva.a
  estabelecer.v
  resolver.v
 "
349,Decisão_sobre_fiança,"Este frame cobre um passo em um processo criminal no qual um Juiz julga se o Acusado deve ser libertado sob fiança e, em caso afirmativo, qual deve ser o valor da fiança.",
350,Declaração,"Este frame contém verbos e nomes que comunicam o ato de um Falante destinar uma Mensagem a algum Destinatário, usando a linguagem.","admitir.v
afirmação.n
afirmar.v
alegação.n
alegar.v
amuar.v
anunciar.v
anúncio.n
arriscar.v
atestar.v
citar.v
comentar.v
comentário.n
completar.v
comprovar.v
concessão.n
confessar.v
confirmar.v
confissão.n
conjetura.n
conjeturar.v
contar.v
contar.v
conversa.n
conversar.v
declaração.n
declarar.v
descrever.v
detalhar.v
dizer.v
esclarecimento.n
escrever.v
exclamação.n
exclamar.v
explicação.n
explicar.v
explicar.v
expressar.v
exultar.v
fala.n
falar.v
insistência.n
insistir.v
manter.v
menção.n
mencionar.v
mensagem.n
negação.n
notar.v
observar.v
orar.v
ousar.v
premissa.n
prestar conta.v
proclamação.n
proclamar.v
professar.v
promulgação.n
pronunciamento.n
pronunciar.v
propor.v
proposição.n
proposta.n
reafirmar.v
reclamar.v
refutar.v
reiterar.v
relacionar.v
relatar.v
relato.n
relatório.n
repetir.v
reproduzir.v
ser como.v
sermão.n
sorrir.v
sugerir.v"
351,Declaração_comutativa,"As ULs nesse frame descrevem um relacionamento estativo entre dois números, o Termo_1 e o Termo_2 ou, coletivamente, Termos, por meio de uma operação aritmética comutativa. Os números são expressos especificamente, juntamente com o Resultado da operação.",
352,Declaração_não_comutativa,"As ULs neste frame descrevem uma declaração aritmética não comutativa, e. subtração e divisão, envolvendo dois números, rotulados como Termo_1 e Termo_2. Esse frame contrasta com Processo_não_comutativo aritmético em que o frame de instrução enfatiza a relação entre os termos na combinação para formar algum Resultado. Por causa da natureza não comutativa desses processos, o Termo_1 e o Termo_2 são não separados em uma base gramatical, mas sim em uma base matemática. Ao fazer referência ao processo, os números podem ser vagos e são frequentemente omitidos por meio de instanciação nula indefinida.",
353,Decoração_corporal,Este frame refere-se a decorações que seres humanos têm ou aplicam em seus corpos.,
354,Defender,"Um Defensor responde a um ataque do Agressor a uma Vítima, combatendo-o diretamente e geralmente violentamente.",
355,Degustar,Um Agente ingere ou começa a ingerir um item de Alimento que ele ainda não experimentou com a intenção de determinar a sua qualidade em uma escala. Uma Finalidade de experimentar o alimento pode ser explicitadamente mencionada.,"degustar.v
  deliciar-se.v
  experimentar.v
  provar.v
 "
356,Deixado_por_fazer,"Um Processo de uso ou modificação é programado para ser aplicado a um grupo ou massa. Em determinado Tempo, o Restante que ainda falta ser processado pode ser identificado. O Agente que trabalhará no Restante geralmente não é perfilado, mas às vezes pode ser expresso.","deixado.a
  deixar.v
  restante.n
  restar.v
  sobrar.v
 "
357,Deixar_de_ser,Uma Entidade deixa de existir.,"desaparecer.v
 "
358,Delegação,Comitiva que representa um País em algum evento esportivo. É composta pelos atletas e pela comissão técnica.,"confederação.n
  delegação.n
 "
359,Deliberação_do_júri,O Júri discute o Caso e suas Acusações para avaliar a Possível_sentença do acusado.,
360,Delimitação_da_diversidade,"Um Item que engloba características ou tipos cuja diversidade é indicada pela adição de um Limite_1 e um Limite_2 que diferem consideravelmente um do outro. Em alguns casos, os Limite_2 e Limite_1 são construídos juntos como Limites. Como alternativa, os valores de uma determinada Variável para o Item e seus Limites podem ser perfilados.",
361,Delitos,As palavras neste frame descrevem atos que violam um código legal.,"fraude.n
 "
362,Demitir,Um Empregador encerra um vínculo empregatício com um Empregado. Muitas vezes há uma Explicação dada para a ação.,
363,Denominação,"Este frame inclui palavras que são usadas como Título de indivíduos. O Título é aplicado a um Nome (apelido ou nome completo) e, muitas vezes, designa a posição de determinada pessoa dentro de uma instituição criada pelo homem. Pares de Título e Nomes podem ser usados como vocativos, mas Títulos não são sempre vocativos por conta própria.",
364,Desastre_natural,As palavras nesse frame indicam um Desastre_natural que pode ocorrer em um Lugar e afetar Vítimas,"avalanche.n
  ciclone.n
  desastre.n
  desertificação.n
  maremoto.n
  seca.n
  terremoto.n
 "
365,Descrição_corporal_holística,"Este frame abrange descrições de um corpo humano inteiro, visto como uma gestalt (quando oposto a descrições baseadas em partes do corpo proeminentes). Os Elementos de Frame são Indivíduo e Figura.","feminino.a
 "
366,Descrição_de_atitude,As unidades lexicais desse frame são descrições da Atitude de um Pensador sobre um Estado_de_coisas ou suas perspectivas sobre ela. o Estado_de_coisas pode ser expresso sem um Pensador em vários casos.,
367,Descrição_de_duração,"Um evento ou estado (aqui chamado de Eventualidade) ou Período de tempo é descrito em termos de Grau no qual a duração diverge de um padrão. Como é comum para atributos graduais, o padrão de comparação normalmente é baseado na duração esperada para o tipo de Eventualidade ou Período. (Em conjunção com a construção comparativa o padrão também pode ser baseado em um valor explícito).","breve.a
contínuo.a
crônico.a
curto.a
duradouro.a
durável.a
efêmero.a
estendido.a
eternamente.adv
eterno.a
fase.n
interino.a
longo.a
momentâneo.a
perpétuo.a
persistente.a
rápido.a
sustentável.a"
368,Descrição_de_raça,Este frame cobre as ULs que descrevem a raça de uma Pessoa.,
369,Descrição_parte_do_corpo,Este frame está relacionado a palavras que descrevem uma pessoa com base em uma parte proeminente do seu corpo. Ele era um cara loiro Ele era um perna de pau..,"emagrecer.v
gorda.n
liso.a"
